名称,公司名字,工作地点,薪酬,工作经验,招聘人员,公司规模,技能要求,标签,描述,名称_链接,公司_链接
数据分析师,亚信科技,西安,6-11K·13薪,3-5年本科,梁女士HR,计算机软件已上市10000人以上,"
                                                    数据分析
                                        ",数据分析,节日福利，通讯补贴，五险一金，年终奖，定期体检，免费班车，带薪年假，补充医疗保险,https://www.zhipin.com/job_detail/dce2d986ffa9baa81nV839-9FltY.html,https://www.zhipin.com/gongsi/d063e597d01c108b33Z50g~~.html
数据分析师,鸡毛山科技,长沙·雨花区·雨花亭,4-9K,1年以内本科,杨先生招聘者,电子商务不需要融资100-499人,"
                                                    数据分析
                                                    数据库开发
                                                    数据挖掘
                                                    大数据
                                        ",数据分析,社保，带薪年假，提供住宿，员工旅游，五险一金，加班补助，交通补助，年终奖，定期体检，五险，餐补，节日福利，零食下午茶,https://www.zhipin.com/job_detail/1061556f0885e8df1nR40tu4EFZW.html,https://www.zhipin.com/gongsi/ed609b990ef8daab1Hx73t25EQ~~.html
数据分析师,新浪网,北京·海淀区·西北旺,15-25K·14薪,3-5年本科,李女士HRBP,互联网已上市1000-9999人,"
                                                    数据分析
                                                    数据挖掘
                                                    商业分析
                                        ",数据分析,五险一金，补充医疗保险，免费班车，定期体检，餐补,https://www.zhipin.com/job_detail/4a408e18097f4d0d1nV-3929FlFU.html,https://www.zhipin.com/gongsi/1310230b34eaa34e1n170ts~.html
数据分析师,索美智能,重庆·渝北区·龙头寺,12-15K·15薪,5-10年硕士,李女士人力资源主管,计算机软件不需要融资100-499人,"
                                                    数据仓库
                                                    数据开发
                                                    数据治理
                                                    数据架构师
                                        ",数据仓库,通讯补贴，补充医疗保险，五险一金，餐补，交通补助，员工旅游，年终奖，全勤奖，带薪年假，定期体检，节日福利，包吃,https://www.zhipin.com/job_detail/9654625c19e349561nRy3t--EFdV.html,https://www.zhipin.com/gongsi/a6da5dca8158cb9d3nF82N-5GQ~~.html
数据分析师,小红书,武汉·江夏区·光谷,4-7K·13薪,1-3年大专,刘女士HRBP,互联网D轮及以上1000-9999人,"
                                                    数据分析
                                        ",数据分析,股票期权，包吃，全勤奖，定期体检，五险一金，年终奖，带薪年假，加班补助，补充医疗保险，员工旅游，交通补助，零食下午茶，住房补贴，节日福利,https://www.zhipin.com/job_detail/bd0d599292de1b891nR42ty0EFVW.html,https://www.zhipin.com/gongsi/918159f26789c3891nV53dQ~.html
数据分析师,蚂蚁集团,杭州,20-40K·16薪,1-3年本科,康先生招聘者,互联网D轮及以上10000人以上,"
                                                    Python
                                                    Hive
                                                    R
                                                    Spark
                                                    分布式技术
                                        ",Python,,https://www.zhipin.com/job_detail/dc9498105c27567c1nV909W0FlNS.html,https://www.zhipin.com/gongsi/4685d74590e9bc881nV43N-4EVo~.html
数据分析师,瑞幸咖啡,厦门·思明区·莲前,13-26K,5-10年本科,钟女士HRBP,互联网未融资10000人以上,"
                                                    数据分析
                                        ",数据分析,五险一金，通讯补贴，带薪年假，结婚喜金，交通补助，员工饮，餐补,https://www.zhipin.com/job_detail/79034881b819555c1nR82tm4EVdZ.html,https://www.zhipin.com/gongsi/759829c7bb26425f1nZ-0ty1FQ~~.html
数据分析师,同方知网科技,贵阳·南明区·花果园,5-7K,经验不限硕士,周女士人事,数据服务不需要融资20-99人,"
                                                    数据分析
                                                    数据开发
                                                    架构师
                                        ",数据分析,五险一金，员工旅游，带薪年假，定期体检，餐补，通讯补贴，交通补助,https://www.zhipin.com/job_detail/360d7f4a08f07f651nR-2tq9FlBS.html,https://www.zhipin.com/gongsi/b59a2e898a28bd5a03J83tm_GQ~~.html
数据分析师,玩吧,北京·东城区·东直门,18-30K,1-3年本科,贾先生数据分析经理,移动互联网B轮500-999人,"
                                                    数据分析
                                                    SQL
                                                    商业分析
                                                    Python
                                                    R语言
                                        ",数据分析,七险一金，自助午餐，独立健身房，员工旅游，股票期权，带薪年假，弹性不打卡，年终奖，试用期全薪,https://www.zhipin.com/job_detail/1df9b3900b94d8ae1nR_39u4EFpQ.html,https://www.zhipin.com/gongsi/5edb3d2d145537881nR82t--.html
数据分析师,先进数通,桂林·临桂区·花生唐,5-6K,1-3年本科,朱女士人力资源助理,计算机软件已上市1000-9999人,"
                                                    ETL
                                                    Cognos
                                        ",ETL,加班补助，五险一金，年终奖，定期体检，餐补，通讯补贴，节日福利,https://www.zhipin.com/job_detail/5b7def3ce66776461nR62966GFtW.html,https://www.zhipin.com/gongsi/177ff0c142e7cae01Xd73t-6.html
数据分析师,北京字节跳动,深圳,20-40K·15薪,1-3年本科,程先生招聘专员,移动互联网D轮及以上10000人以上,"
                                                    SQL
                                                    Python
                                                    Tableau
                                                    R
                                                    BI
                                        ",SQL,六险一金，五险一金，员工旅游，交通补助，定期体检，股票期权，住房补贴，餐补，零食下午茶，补充医疗保险，带薪年假，节日福利，加班补助，免费班车，通讯补贴，包吃，年终奖,https://www.zhipin.com/job_detail/57aa715c1acb4fdf1nVz3N-0FFBT.html,https://www.zhipin.com/gongsi/7d01ce6cfe2022030HJ409y-.html
数据分析师,盟大集团,东莞·南城,12-18K·14薪,3-5年本科,关女士HR,移动互联网C轮100-499人,"
                                                    数据分析
                                                    Python
                                                    增长数据
                                                    建立数据分析框架和指
                                        ",数据分析,五险一金，带薪年假，补充医疗保险，定期体检，交通补助，零食下午茶，年终奖，带薪心情假，节日福利，带薪考试假,https://www.zhipin.com/job_detail/ed278e28917a72291nV_39y0EFZV.html,https://www.zhipin.com/gongsi/198b843a354c4dfe1nJ739i4.html
数据分析师,爱奇艺,北京·朝阳区·工体,12-24K·14薪,5-10年本科,孙女士招聘者,互联网已上市1000-9999人,"
                                                    数据分析
                                                    数据挖掘
                                                    SQL
                                                    Excel
                                                    数据采集
                                        ",数据分析,定期体检，餐补，零食下午茶，五险一金，加班补助，带薪年假，交通补助，补充医疗保险,https://www.zhipin.com/job_detail/401b254f2b4363ee1nR_2N28E1BW.html,https://www.zhipin.com/gongsi/6fcd6bb018e7e8db1Xxz0t8~.html
数据分析师,VIP陪练,上海·杨浦区·东外滩,15-25K,3-5年本科,周先生招聘者,培训机构C轮1000-9999人,"
                                                    数据分析
                                                    数据库
                                                    Hive
                                                    BI
                                        ",数据分析,员工旅游，带薪年假，零食下午茶，交通补助，股票期权，餐补，节日福利，年终奖，五险一金，补充医疗保险,https://www.zhipin.com/job_detail/a224e3573c25fe3b1nR70t29EltS.html,https://www.zhipin.com/gongsi/332df688984c6d3a0nVy39S9Fw~~.html
数据分析师,卓创资讯,淄博,5-10K,1-3年本科,齐女士经理,分类信息不需要融资1000-9999人,"
                                                    数据挖掘
                                                    数据分析
                                                    数据仓库
                                        ",数据挖掘,带薪年假，餐补，免费班车，节日福利，住房补贴，加班补助，定期体检，零食下午茶，股票期权，补充医疗保险，通讯补贴，年终奖，员工旅游，五险一金，交通补助,https://www.zhipin.com/job_detail/bf021ea28ca8484a1nR63tm5FlJX.html,https://www.zhipin.com/gongsi/cf1304e8bab147931nd-2Nu4Fg~~.html
数据分析师,格兰仕集团,中山·兴圃大道东,7-9K,1-3年本科,郭先生招聘专员,其他行业不需要融资10000人以上,"
                                                    数据分析
                                                    Python
                                                    SQL
                                        ",数据分析,节日福利，餐补，五险一金，免费班车，带薪年假，包吃,https://www.zhipin.com/job_detail/a875f1085a9011231nV_2tm9ElRY.html,https://www.zhipin.com/gongsi/fc151dac1d2132231XZy2t0~.html
数据分析师,掌门教育,上海,15-20K·14薪,1-3年本科,马女士HRBP,互联网D轮及以上10000人以上,"
                                                    数据分析
                                                    数据挖掘
                                                    SQL
                                                    Python
                                        ",数据分析,年终奖，零食下午茶，五险一金，带薪年假,https://www.zhipin.com/job_detail/e47294f9fcec6b871nRz0tW_FVBR.html,https://www.zhipin.com/gongsi/4313226913af76320HRz3dm4GQ~~.html
数据分析师,滴滴,北京·海淀区·回龙观,25-40K·16薪,3-5年硕士,江女士产品专家,移动互联网D轮及以上1000-9999人,"
                                                    数据分析
                                                    商业分析
                                        ",数据分析,五险一金，补充医疗保险，定期体检,https://www.zhipin.com/job_detail/d326c1bd834ee2541nR43dW1FVFQ.html,https://www.zhipin.com/gongsi/8548fadc0b5c265403V93t61EQ~~.html
数据分析师,氪信科技,深圳,15-25K·15薪,1-3年本科,李女士人事,互联网C轮100-499人,"
                                                    数据分析
                                        ",数据分析,加班补助，交通补助，节日福利，补充医疗保险，年终奖，带薪年假，五险一金，定期体检，员工旅游，住房补贴，餐补，股票期权，零食下午茶,https://www.zhipin.com/job_detail/0db068337f0c7eb91nV_2ty6GVpX.html,https://www.zhipin.com/gongsi/3752c76661aa03c01nZ62di8GVE~.html
数据分析师,沃菲数字营销,深圳·南山区·西丽,8-9K,1-3年本科,曾女士招聘专员,广告营销不需要融资100-499人,"
                                                    数据分析
                                        ",数据分析,年终奖，带薪年假，定期体检，节日福利，员工旅游，全勤奖，五险一金，零食下午茶,https://www.zhipin.com/job_detail/50fc80a14f67481a1nR429q7GVZQ.html,https://www.zhipin.com/gongsi/dc1f0e921247f0bd1nJ63dS0Ew~~.html
数据分析师,国美电器,北京·朝阳区·霄云路,8-13K·14薪,1-3年本科,范先生招聘者,其他行业已上市1000-9999人,"
                                                    数据分析
                                                    数据挖掘
                                                    SQL
                                                    Python
                                                    Excel
                                        ",数据分析,五险一金，定期体检，员工旅游，年终奖，带薪年假，节日福利，加班补助,https://www.zhipin.com/job_detail/8bb0d0c6da8816fc1nR439i7GVRV.html,https://www.zhipin.com/gongsi/fd2ac4a4ea593bb41XZ609U~.html
数据分析师,哈啰出行,上海·闵行区·莘庄,15-30K·15薪,3-5年本科,张先生数据分析,互联网D轮及以上1000-9999人,"
                                                    SQL
                                                    Python
                                                    Hive
                                                    R
                                                    Tableau
                                        ",SQL,餐补，带薪年假，年终奖，定期体检，股票期权，节日福利，五险一金,https://www.zhipin.com/job_detail/559d0a6dc0690a611nV93N-5GFpT.html,https://www.zhipin.com/gongsi/472c8fd0ba1c1f1433Vy3Nm-.html
数据分析师,航安云创,天津·西青区·中北,9-13K·13薪,3-5年本科,张女士HR,计算机软件不需要融资20-99人,"
                                                    SQL
                                                    数据分析
                                                    数据仓库
                                                    数据治理
                                        ",SQL,餐补，带薪年假，零食下午茶，节日福利，五险一金，年终奖，定期体检,https://www.zhipin.com/job_detail/c2bad9c76d3909ac1nR739W8GFdS.html,https://www.zhipin.com/gongsi/a1e9d34b165a41ad1XZ40926.html
数据分析师,河南双汇投资发展...,郑州·金水区·国贸360,15-18K,3-5年硕士,李先生部长,食品/饮料/烟酒已上市10000人以上,"
                                                    数据分析
                                                    数据挖掘
                                                    数据仓库
                                        ",数据分析,五险一金，年终奖,https://www.zhipin.com/job_detail/3cd9cedfc4f370031nV_3d67FVpT.html,https://www.zhipin.com/gongsi/d2ca2f0a5c5503ea1HR-09u4Eg~~.html
数据分析师,喜马拉雅,上海·浦东新区·张江,15-30K·15薪,3-5年本科,赵女士HR,移动互联网D轮及以上1000-9999人,"
                                                    Python
                                                    Excel
                                                    R
                                                    咨询领域
                                                    kol投放
                                        ",Python,年终奖，五险一金，节日福利，餐补，免费班车，定期体检，带薪年假，零食下午茶，员工旅游,https://www.zhipin.com/job_detail/d3596062cebecdc61nV92ti5FVNT.html,https://www.zhipin.com/gongsi/269df90b69b4053e1nd-09U~.html
数据分析师,毕马威,上海·静安区·静安寺,10-15K,3-5年本科,王女士经理,咨询不需要融资1000-9999人,"
                                                    ETL
                                                    数据分析
                                                    商业分析
                                                    SQL
                                                    Python
                                        ",ETL,五险一金,https://www.zhipin.com/job_detail/b7d2c2f6a63c10211nV-0t6-EVBQ.html,https://www.zhipin.com/gongsi/15cad93523fc4b7e33J-29u9.html
数据分析师,钱大妈,广州·白云区·江高,3-6K,经验不限大专,吴先生广州蔬果仓经理,生活服务D轮及以上1000-9999人,"
                                                    大数据
                                                    BI
                                                    网络爬虫技术
                                                    相关分析
                                        ",大数据,员工旅游，股票期权，定期体检，五险一金，住房补贴，包吃，全勤奖，节日福利，年终奖，带薪年假,https://www.zhipin.com/job_detail/7b245975b95149251nV909m_GFNS.html,https://www.zhipin.com/gongsi/f90ec87361e14e0f1HJz29u8.html
数据分析师,支付宝口碑,杭州·西湖区·西湖,15-25K·13薪,3-5年本科,陈女士风险运营,O2O不需要融资1000-9999人,"
                                                    数据分析
                                                    SQL
                                                    Python
                                                    R
                                                    数据挖掘
                                        ",数据分析,定期体检，五险一金，补充医疗保险，交通补助，零食下午茶，员工旅游，带薪年假，节日福利，餐补,https://www.zhipin.com/job_detail/ca01a18ea496f3691nV42du5GVJU.html,https://www.zhipin.com/gongsi/2dc45ffa1846af1f1HZ92tm-.html
数据分析师,润联科技,深圳·福田区·梅林,10-11K,5-10年本科,朱先生高级研发经理,计算机软件不需要融资1000-9999人,"
                                                    主数据
                                        ",主数据,年终奖，定期体检，补充医疗保险，餐补，节日福利，五险一金，带薪年假，加班补助,https://www.zhipin.com/job_detail/3a70dbda9eca44d61nR_3Ni_GFdX.html,https://www.zhipin.com/gongsi/7864481027af7b4c0H193dq8EQ~~.html
数据分析师,上海米居,上海·静安区·汶水路,8-10K,1-3年本科,任女士运营经理,移动互联网D轮及以上1000-9999人,"
                                                    数据分析
                                                    SQL
                                                    Python
                                                    Excel
                                        ",数据分析,五险一金，年会旅游，高温费，员工旅游，工作餐，交通补助，部门团建经费，生日祝福，通讯补贴，带薪年假，节日福利,https://www.zhipin.com/job_detail/32ad5a61c237ae291nR53Ny1FlJU.html,https://www.zhipin.com/gongsi/abab53982c17662c1XBz2d-7.html
数据分析师,惠州市熊猫不走烘...,惠州,10-15K,1-3年本科,杨女士招聘员,O2OA轮1000-9999人,"
                                                    Python
                                                    SQL
                                        ",Python,节日福利，股票期权，零食下午茶，员工旅游,https://www.zhipin.com/job_detail/717f74db7167ccde1nVy29u0ElBR.html,https://www.zhipin.com/gongsi/36558b5ca1ed6ae61XN409m5FA~~.html
数据分析师,纵腾,深圳·龙岗区·坂田,12-20K·15薪,3-5年本科,符先生HRBP,互联网C轮1000-9999人,"
                                                    SQL
                                                    Python
                                        ",SQL,加班补助，带薪年假，节日福利，年终奖，全勤奖，零食下午茶，五险一金,https://www.zhipin.com/job_detail/514f7529670ed9ca1nV93N28FVBV.html,https://www.zhipin.com/gongsi/fd19656e4fe11ac81XJy2dW0.html
数据分析师,中惠旅,长沙·雨花区·跳马,7-12K,1-3年本科,王女士人事经理,旅游已上市1000-9999人,"
                                                    数据分析
                                        ",数据分析,五险一金，节日福利，交通补助，员工旅游，免费班车，全勤奖，包住，包吃，办公环境舒适，奖金丰厚，带薪年假，晋升空间大,https://www.zhipin.com/job_detail/be9c03e010afc6301nV52d66FldZ.html,https://www.zhipin.com/gongsi/f6e2b96d0cd90d750XV63d24.html
数据分析师,上海利真,上海·杨浦区·东外滩,8-11K·13薪,1-3年本科,张女士高级招聘顾问,企业服务不需要融资1000-9999人,"
                                                    SQL
                                                    Python
                                                    数据分析
                                                    Excel
                                                    运营分析
                                        ",SQL,带薪年假，定期体检，五险一金，节日福利，年终奖，员工旅游，利真家庭日，零食下午茶,https://www.zhipin.com/job_detail/3cfb35962c60aa0b1nV93N29ElFR.html,https://www.zhipin.com/gongsi/74112cee7ff26bcb1nd43NS8.html
数据分析师,引力传媒,上海·长宁区·新华路,15-20K,1-3年本科,叶女士HR,广告营销已上市500-999人,"
                                                    策略中心
                                                    数据银行
                                                    商业分析
                                                    数据分析
                                                    ISV
                                        ",策略中心,节日福利，定期体检，五险一金，餐补，年终奖，全勤奖，交通补助，补充医疗保险，带薪年假，通讯补贴,https://www.zhipin.com/job_detail/0c303b1c20af44201nR53dq9FVRT.html,https://www.zhipin.com/gongsi/9b352f33927c543403Z63NU~.html
数据分析师,凯晨国际,武汉·蔡甸区·沌口,4-6K·14薪,1年以内本科,柳先生人事经理,贸易/进出口未融资1000-9999人,"
                                                    数据分析
                                                    Tableau
                                                    Python
                                                    数据采集
                                                    商业分析
                                        ",数据分析,年终奖，节日福利，全勤奖，员工旅游，油费补贴，通讯补贴，餐补，加班补助，免费班车，五险一金，购房购车贷款，定期体检，带薪年假,https://www.zhipin.com/job_detail/6e106ba52dbf7d841nR-2NW5FVtT.html,https://www.zhipin.com/gongsi/9ac50e35d28467491Xd92dS6Eg~~.html
数据分析师,海信网络科技,青岛·崂山区·崂山风景区,13-20K·13薪,1-3年本科,孙女士招聘专员,计算机软件不需要融资1000-9999人,"
                                                    数据分析
                                                    数据挖掘
                                                    数据开发
                                        ",数据分析,交通补助，定期体检，五险一金，餐补，年终奖，加班补助，补充医疗保险，节日福利，带薪年假,https://www.zhipin.com/job_detail/41e93d12242df1241nR_39y8GVtS.html,https://www.zhipin.com/gongsi/689bff4b746941f81XV83dW1.html
数据分析师,神策数据,郑州·二七区·火车站,8-13K·14薪,3-5年本科,何女士HR,数据服务C轮500-999人,"
                                                    数据分析
                                                    数据采集
                                        ",数据分析,零食下午茶，节日福利，定期体检，五险一金，股票期权，餐补，带薪年假，补充医疗保险,https://www.zhipin.com/job_detail/d9d627afcd352d1c1nR_3t2_FVRR.html,https://www.zhipin.com/gongsi/4845e074ed747d6a33V629S0Ew~~.html
数据分析师,微盟,上海·宝山区·淞南,15-30K,3-5年本科,叶女士数据产品经理,互联网已上市1000-9999人,"
                                                    数据分析
                                                    数据挖掘
                                                    数据仓库
                                        ",数据分析,员工活动，加班补助，带薪病假，住房补贴，节日福利，年终奖，餐补，零食下午茶，带薪年假，定期体检，五险一金,https://www.zhipin.com/job_detail/c428f46a1670af7a1nR83dq1ElBZ.html,https://www.zhipin.com/gongsi/298be4ba330230411nR409u8.html
数据分析师,大金(中国),上海·静安区·静安寺,20-25K·15薪,5-10年本科,孙先生副部长,机械设备/机电/重工不需要融资1000-9999人,"
                                                    数据分析
                                                    商业分析
                                                    SQL
                                                    Python
                                                    R
                                        ",数据分析,节日福利，带薪年假，补充医疗保险，员工旅游，五险一金，加班补助，定期体检，交通补助，年终奖,https://www.zhipin.com/job_detail/61cfdabe1beed6b01nR50tq8GFtY.html,https://www.zhipin.com/gongsi/27af08b1feda93f81nx929q0EQ~~.html
数据分析师,华熙生物,北京·朝阳区·国贸,15-20K·14薪,3-5年硕士,杨女士润百颜护肤总经理,医疗/护理/卫生已上市1000-9999人,"
                                                    商业分析
                                                    数据挖掘
                                                    数据分析
                                                    数据建模
                                        ",商业分析,五险一金，餐补，年终奖，补充医疗保险，免费班车，定期体检，节日福利,https://www.zhipin.com/job_detail/6f5aeda4be7844981nV62N-9GFNU.html,https://www.zhipin.com/gongsi/396853e23c797acb1nN93tu-FQ~~.html
数据分析师,上海冰鉴,上海·浦东新区·陆家嘴,15-25K·16薪,1-3年本科,彭女士recruiter,互联网C轮100-499人,"
                                                    数据分析
                                                    数据挖掘
                                                    风控模型
                                                    算法
                                                    xgboost
                                        ",数据分析,节日福利，股票期权，年终奖，定期体检，补充医疗保险，五险一金，加班补助，带薪年假，餐补,https://www.zhipin.com/job_detail/dad1d2989be3682a1nR42N60GVVS.html,https://www.zhipin.com/gongsi/3615f7efe135fda41Xdz0t-4.html
数据分析师,凯奥尼,枣庄,3-4K,经验不限中专/中技,王先生人力资源部经理,原材料及加工/模具不需要融资100-499人,"
                                                    数据分析
                                        ",数据分析,节日福利，员工旅游，包吃，餐补，年终奖，通讯补贴，全勤奖，交通补助，加班补助，补充医疗保险,https://www.zhipin.com/job_detail/26c7911b69a4c5961nV83dy1E1VZ.html,https://www.zhipin.com/gongsi/5f2632ce50ec24960HJ729i1Eg~~.html
数据分析师,淘宝网,杭州·余杭区·五常,25-50K·15薪,经验不限本科,张先生招聘者,电子商务不需要融资1000-9999人,"
                                                    数据分析
                                                    商业分析
                                                    BI
                                                    电商平台
                                        ",数据分析,节日福利，员工旅游，包吃，带薪年假，年终奖，股票期权，加班补助，补充医疗保险，餐补，定期体检，免费班车，住房补贴，五险一金,https://www.zhipin.com/job_detail/78450ca51413c9951nR93Ni0EldU.html,https://www.zhipin.com/gongsi/4e66596227ba38c21nV_3tu_.html
数据分析师,贵州指趣,黔西南布依族苗族自治州·兴义市·桔山,4-6K,1-3年大专,敖女士人资经理,互联网B轮500-999人,"
                                                    数据分析
                                        ",数据分析,节日福利，全勤奖，餐补,https://www.zhipin.com/job_detail/823390af818fb2df1nV93dW8FlNV.html,https://www.zhipin.com/gongsi/e174bdea2180151e1nBz2t67EQ~~.html
数据分析师,酷狗音乐,广州·天河区·车陂,20-40K·13薪,3-5年本科,刘先生HRBP,互联网已上市1000-9999人,"
                                                    数据分析
                                        ",数据分析,零食下午茶，五险一金，年终奖，带薪年假，定期体检，补充医疗保险，节日福利，餐补，股票期权，包吃,https://www.zhipin.com/job_detail/d857977e64f3da771nRy39-4E1JW.html,https://www.zhipin.com/gongsi/0f327133d869f4991nd-.html
数据分析师,货拉拉科技,深圳·福田区·梅林,18-35K,3-5年本科,陈女士销售运营经理,互联网D轮及以上1000-9999人,"
                                                    SQL
                                                    Python
                                                    Hive
                                                    Tableau
                                                    BI
                                        ",SQL,五险一金，带薪年假，年终奖，交通补助，员工旅游，节日福利，零食下午茶,https://www.zhipin.com/job_detail/56ae74e1c977ff801nV93Nm1FldW.html,https://www.zhipin.com/gongsi/0bc562732fcf91fe3nJy.html
数据分析师,优维尔,深圳·宝安区·西乡,10-15K,3-5年大专,王女士招聘专员,电子商务不需要融资1000-9999人,"
                                                    数据分析
                                        ",数据分析,带薪年假，定期体检，补充医疗保险，节日福利，年终奖，住房补贴，包吃，员工旅游，零食下午茶，全勤奖，五险一金,https://www.zhipin.com/job_detail/297e5117552f20141nV-3Ny0FlJZ.html,https://www.zhipin.com/gongsi/9fbe6e647c596bb40XB_2dS0.html
数据分析师,最有料,厦门·思明区·前埔,8-13K,3-5年本科,张女士HRM,电子商务不需要融资1000-9999人,"
                                                    数据分析
                                                    商业分析
                                                    数据采集
                                        ",数据分析,零食下午茶，交通补助，年终奖，全勤奖，免费班车，节日福利，五险一金，股票期权，餐补，带薪年假,https://www.zhipin.com/job_detail/a0361cd929f25d461nR60tm_GVtQ.html,https://www.zhipin.com/gongsi/a79e0a15b4a9197a0nNz0960EQ~~.html
数据分析师,IGG,福州·晋安区·洋下,10-15K·13薪,1-3年本科,黄女士hrbp,游戏已上市1000-9999人,"
                                                    数据分析
                                                    数据挖掘
                                                    游戏
                                        ",数据分析,零食下午茶，节日福利，年终奖，餐补，定期体检，员工旅游，医务室，补充医疗保险，带薪年假，五险一金,https://www.zhipin.com/job_detail/3b9c07327d9836191nR_2dq7FVJT.html,https://www.zhipin.com/gongsi/747f755dccb6ac8f1XJ50t2-.html
数据分析师,三一集团,长沙·长沙县·星城国际,15-30K·16薪,1-3年本科,向先生HR,其他行业已上市10000人以上,"
                                                    数据分析
                                                    数据挖掘
                                                    数据架构师
                                        ",数据分析,免费班车，五险一金，年终奖，股票期权，节日福利，餐补，零食下午茶，带薪年假,https://www.zhipin.com/job_detail/71aed1a164bed8f41nV_39y0FFBU.html,https://www.zhipin.com/gongsi/f59fd8315cf921ef1XF439y_.html
数据分析师,恒大高科技,深圳,15-30K·13薪,5-10年本科,李女士招聘经理,投资/融资不需要融资1000-9999人,"
                                                    SQL
                                                    Python
                                                    Pandas
                                                    Hive
                                                    Spark
                                        ",SQL,包吃，年终奖，免费班车，定期体检，带薪年假，五险一金，员工旅游，节日福利,https://www.zhipin.com/job_detail/c4e5a2f4bcdc1d7d1nV92tq4EVJQ.html,https://www.zhipin.com/gongsi/c0a6cbd427e9d56a1HV52t6-FA~~.html
数据分析师,视源股份(CVTE),广州·黄埔区·科学城,15-30K·13薪,3-5年本科,马先生招聘者,电子/半导体/集成电路已上市1000-9999人,"
                                                    数据分析
                                                    数据挖掘
                                                    数据处理
                                        ",数据分析,包吃，交通补助，通讯补贴，股票期权，节日福利，零食下午茶，餐补，绩效奖金，五险一金，年终奖，补充医疗保险，带薪年假，免费班车，定期体检，员工旅游，住房补贴,https://www.zhipin.com/job_detail/e9a90aea234b3c341nx52dy8FFo~.html,https://www.zhipin.com/gongsi/f477905c02b6910903x43Nm0.html
数据分析师,蓝盾光电子,淮北·相山区·国购广场,4-6K,经验不限本科,马先生人力资源,电子/半导体/集成电路已上市1000-9999人,"
                                                    数据分析
                                                    数据挖掘
                                        ",数据分析,节日福利，五险一金，带薪年假，通讯补贴，交通补助，餐补,https://www.zhipin.com/job_detail/106c269bb13b776c1nR80tm7GVNU.html,https://www.zhipin.com/gongsi/a31c52ce0920ec5a1XZ53tu_GA~~.html
数据分析师,孩子王,南京·江宁区·麒麟镇,15-30K·13薪,3-5年本科,周女士招聘主管,互联网C轮10000人以上,"
                                                    数据分析
                                                    数据挖掘
                                        ",数据分析,节日福利，年终奖，免费班车，员工旅游，五险一金，零食下午茶，带薪年假，定期体检，餐补,https://www.zhipin.com/job_detail/d1fe81b7fbf4bd401nR70tm6FVVY.html,https://www.zhipin.com/gongsi/fbba8ee602719fe11nR_2tS_.html
数据分析师,携程旅行网,上海,15-22K·13薪,1-3年本科,孟先生收益经理,互联网已上市10000人以上,"
                                                    数据分析
                                                    数据挖掘
                                                    数据仓库
                                                    SQL
                                                    hive
                                        ",数据分析,定期体检，绩效奖金，加班补助，节日福利，补充医疗保险，年终奖，带薪年假，五险一金，餐补，股票期权，员工旅游,https://www.zhipin.com/job_detail/a69643f39d8e7d391nR-3t6-ElFS.html,https://www.zhipin.com/gongsi/69a877c4ff0646b00XJ80w~~.html
数据分析师,兔师傅,郑州·金水区·汽配大世界,4-6K,经验不限本科,牛女士人资经理,4S店/后市场不需要融资500-999人,"
                                                    数据仓库
                                                    数据分析
                                                    商业分析
                                        ",数据仓库,定期体检，餐补，五险一金，补充医疗保险，加班补助，员工旅游,https://www.zhipin.com/job_detail/f660f9d3643c52e81nV739y5E1ZU.html,https://www.zhipin.com/gongsi/b1de3213e7710b9e03J63dW4Fg~~.html
数据分析师,南燕保险科技,上海·静安区·曹家渡,8-12K·13薪,1年以内本科,郭女士HR招聘专员,互联网金融C轮100-499人,"
                                                    SQL
                                                    Python
                                        ",SQL,节日福利，股票期权，定期体检，五险一金，年终奖，零食下午茶，员工旅游，带薪年假，通讯补贴,https://www.zhipin.com/job_detail/c76a50d104e99bcb1nV93ti9EVZR.html,https://www.zhipin.com/gongsi/fd20f29ea2bfeaaa0HJ53t26.html
数据分析师,作业帮,北京·海淀区·上地,15-30K·14薪,3-5年本科,钟女士运营,互联网D轮及以上10000人以上,"
                                                    SQL
                                                    Excel
                                                    Tableau
                                                    BI
                                        ",SQL,节日福利，带薪年假，交通补助，补充医疗保险，五险一金，定期体检，包吃，年终奖,https://www.zhipin.com/job_detail/68dbfde8b02b801c1nZ429y5E1JZ.html,https://www.zhipin.com/gongsi/aa456cb60b5eb9e81ndz3ty1.html
数据分析师,一起教育科技,北京·朝阳区·望京,20-30K·14薪,3-5年本科,卢先生招聘,互联网已上市10000人以上,"
                                                    数据分析
                                                    商业分析
                                        ",数据分析,定期体检，年终奖，员工旅游，带薪病假，通讯补贴，补充医疗保险，节日福利，股票期权，零食下午茶，公司福利年假，带薪年假，五险一金，餐补,https://www.zhipin.com/job_detail/26afb8d245026f9d1nV_39m-FFJY.html,https://www.zhipin.com/gongsi/133fca828487ac3d1nV52A~~.html
