名称,公司名字,工作地点,薪酬,工作经验,招聘人员,公司规模,技能要求,标签,描述,名称_链接,公司_链接
数据分析师,拼室友,北京·朝阳区·百子湾,20-40K·13薪,1-3年本科,宫女士hr,数据服务A轮20-99人,"
                                                    数据分析
                                                    数据仓库
                                                    SQL
                                                    Python
                                        ",数据分析,年终奖，定期体检，零食下午茶，员工旅游，补充医疗保险，带薪年假，节日福利，股票期权，五险一金,https://www.zhipin.com/job_detail/50e2478b8f4b638c1nR53dS4F1VW.html,https://www.zhipin.com/gongsi/dc128b7207dad7613nx72dq6.html
数据分析师,赢商网,广州·天河区·珠江新城,9-10K,1-3年本科,倪女士选址总监,移动互联网B轮100-499人,"
                                                    数据分析
                                                    品牌咨询
                                        ",数据分析,五险一金，住房补贴，通讯补贴，定期体检，年终奖，交通补助，员工旅游，带薪年假,https://www.zhipin.com/job_detail/f152e98eac2e9f371nR52Ni1GVtR.html,https://www.zhipin.com/gongsi/44b64e410b64bc111HB42tu-.html
数据分析师,融金数科,深圳·南山区·科技园,10-15K·13薪,1-3年本科,罗女士人力资源总监,互联网金融不需要融资20-99人,"
                                                    数据分析
                                                    ETL
                                        ",数据分析,五险一金，节日福利，零食下午茶，员工旅游，年终奖，不定期团建，生日福利，股票期权，带薪年假，定期体检,https://www.zhipin.com/job_detail/e889b9dd19f92bf31nV_3Nu-EFVY.html,https://www.zhipin.com/gongsi/4df40c631baefde01nZ82dy9FlI~.html
数据分析师,万得,扬州·广陵区·城东,4-6K,经验不限本科,余女士数据分析师,数据服务不需要融资1000-9999人,"
                                                    数据分析
                                        ",数据分析,餐补，股票期权，定期体检，零食下午茶，补充医疗保险，节日福利，交通补助，年终奖，五险一金，带薪年假,https://www.zhipin.com/job_detail/e8b9618263afc8851nRy3du8F1RZ.html,https://www.zhipin.com/gongsi/3be219eff47214b91nB42N26EQ~~.html
数据分析师,满帮集团,上海·长宁区·仙霞,20-40K·14薪,3-5年本科,兰先生数据分析,移动互联网D轮及以上1000-9999人,"
                                                    R
                                                    Impala
                                                    Python
                                                    SQL
                                                    大数据
                                        ",R,股票期权，员工旅游，年终奖，定期体检，节日福利，零食下午茶，五险一金,https://www.zhipin.com/job_detail/352e86b23cd15bc91nZ73dy5FlRS.html,https://www.zhipin.com/gongsi/879ccc35345e3c0133172N68GA~~.html
数据分析师,华为,东莞·松山湖,14-20K·14薪,经验不限本科,阳先生项目总监,计算机软件不需要融资10000人以上,"
                                                    大数据
                                                    人工智能
                                        ",大数据,员工旅游，加班补助，年终奖，零食下午茶，补充医疗保险，五险一金，免费班车，节日福利，带薪年假，定期体检，股票期权，宵夜,https://www.zhipin.com/job_detail/36a2ff92104db4e41nV92du5EVJZ.html,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
数据分析师,BOSS直聘,北京·朝阳区·太阳宫,15-20K·16薪,经验不限本科,范女士数据分析师,人力资源服务D轮及以上1000-9999人,"
                                                    Python
                                                    R语言
                                                    R
                                        ",Python,员工旅游，年终奖，补充医疗保险，节日福利，交通补助，加班补助，五险一金，带薪年假，股票期权，住房补贴，定期体检，餐补,https://www.zhipin.com/job_detail/71abff016590253d1nV_3dW-GVpR.html,https://www.zhipin.com/gongsi/fa2f92669c66eee31Hc~.html
数据分析师,腾讯,深圳·南山区·科技园,11-22K·14薪,1-3年本科,陈女士高级数据分析师,互联网已上市10000人以上,"
                                                    数据分析
                                                    数据挖掘
                                                    SQL
                                                    Python
                                        ",数据分析,股票期权，员工旅游，年终奖，通讯补贴，定期体检，交通补助，住房补贴，五险一金，补充医疗保险，餐补，免费班车，零食下午茶，带薪年假，节日福利,https://www.zhipin.com/job_detail/61b80523fb91b58d1nR72dy1FlpR.html,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
数据分析师,京东集团,上海·宝山区·通河,20-30K·14薪,3-5年本科,洪女士技术研发产品经理,电子商务已上市10000人以上,"
                                                    数据分析
                                                    数据挖掘
                                                    商业分析
                                                    SQL
                                                    大数据
                                        ",数据分析,五险一金，交通补助，包吃，员工旅游，年终奖，零食下午茶，股票期权，补充医疗保险，节日福利，免费班车，带薪年假，定期体检，餐补,https://www.zhipin.com/job_detail/f4ba31430371c5321nR60t26FlVW.html,https://www.zhipin.com/gongsi/33e052361693f8371nF-3d25.html
数据分析师,爱回收,北京,23-35K·14薪,5-10年本科,张女士hr,互联网D轮及以上1000-9999人,"
                                                    商业分析
                                                    市场研究
                                                    Excel
                                                    MySQL
                                                    数据挖掘
                                        ",商业分析,带薪年假，加班补助，零食下午茶，节日福利，年终奖,https://www.zhipin.com/job_detail/1eaef011d14393931nV_3dS7E1pS.html,https://www.zhipin.com/gongsi/442c8e2f3f7d54293nxz294~.html
数据分析师,满帮集团,南京·雨花台区·宁南,8-11K,1-3年本科,张女士数据分析,移动互联网D轮及以上1000-9999人,"
                                                    SQL
                                                    Excel
                                                    BI
                                        ",SQL,年终奖，零食下午茶，定期体检，股票期权，员工旅游，节日福利，五险一金,https://www.zhipin.com/job_detail/76b435597e693a471nV92ti_FFdR.html,https://www.zhipin.com/gongsi/879ccc35345e3c0133172N68GA~~.html
数据分析师,万得,扬州,4-6K,经验不限本科,何先生部门经理,数据服务不需要融资1000-9999人,"
                                                    数据分析
                                        ",数据分析,交通补助，股票期权，餐补，定期体检，补充医疗保险，节日福利，五险一金，零食下午茶，年终奖，带薪年假,https://www.zhipin.com/job_detail/6f8eca0cbaa3118c1nRz3929FFBX.html,https://www.zhipin.com/gongsi/3be219eff47214b91nB42N26EQ~~.html
