客户编码,R,F,M,labels
S17717,34,6,786567.0,1
S17720,38,36,6015705.0,0
S17729,12,58,9160235.0,0
S17750,25,18,3215185.0,1
S17751,93,10,1621851.0,2
S17785,77,8,803472.0,2
S17807,83,20,2197050.0,2
S17812,1,56,7355174.0,0
S17819,38,30,4588573.0,1
S17820,70,14,2411261.0,2
S17824,35,31,4377891.0,1
S17833,8,33,5730620.0,0
S17841,10,70,9050936.0,0
S17864,6,33,5155163.0,0
S17873,26,23,2962041.0,1
S17903,35,19,2647902.0,1
S17910,29,24,3361430.0,1
S17936,5,69,10487901.0,0
S17942,5,40,6099229.0,0
S17946,19,30,4331747.0,1
S17953,2,60,8375785.0,0
S17955,83,11,1933465.0,2
S17973,91,20,2668717.0,2
S17985,18,40,5529477.0,0
S18003,17,79,10471694.0,0
S18019,4,18,2240911.0,1
S18020,36,22,3100039.0,1
S18023,25,39,5910840.0,0
S18044,14,20,2590042.0,1
S18062,22,47,6811481.0,0
S18086,19,17,2921905.0,1
S18089,46,8,852665.0,1
S18090,143,9,1279609.0,2
S18111,28,33,4637122.0,1
S18131,5,65,9563231.0,0
S18132,1,37,6490515.0,0
S18164,3,29,3835674.0,1
S18179,32,33,5235667.0,0
S18189,7,31,4237228.0,1
S18190,76,14,1336283.0,2
S18197,35,57,8965272.0,0
S18224,7,71,10101091.0,0
S18227,31,16,2479622.0,1
S18263,74,7,611462.0,2
S18277,60,22,2138299.0,2
S18351,9,42,7911343.0,0
S18360,0,12,2141652.0,1
S18364,78,23,3686201.0,2
S18379,87,4,400195.0,2
S18388,4,48,6827726.0,0
S18395,50,46,8154201.0,0
S18398,0,9,1509763.0,1
S18400,1,21,3884245.0,1
S18419,22,15,3589830.0,1
S18429,10,57,7483159.0,0
S18445,0,55,8089193.0,0
S18472,3,9,1597498.0,1
S18495,38,34,4553921.0,1
S18506,2,23,2936651.0,1
S18507,0,44,7490265.0,0
S18519,5,11,2064874.0,1
S18552,47,27,3618560.0,1
S18569,43,29,4599158.0,1
S18571,139,17,2210341.0,2
S18573,22,21,3305574.0,1
S18595,1,30,4508760.0,1
S18601,3,12,1964006.0,1
S18606,36,51,7036059.0,0
S18611,22,35,5290104.0,0
S18621,4,46,6355445.0,0
S18625,56,29,3306266.0,1
S18634,39,17,2538000.0,1
S18666,11,22,2678224.0,1
S18674,44,51,7725202.0,0
S18696,49,43,6587610.0,0
S18701,38,10,1586692.0,1
S18702,44,44,5853288.0,0
S18710,100,12,1594535.0,2
S18720,3,57,8343950.0,0
S18730,42,17,2859298.0,1
S18733,20,27,4147864.0,1
S18740,33,12,1452706.0,1
S18744,37,7,658136.0,1
S18776,10,21,3683523.0,1
S18810,21,48,5851103.0,0
S18819,5,34,4406483.0,1
S18848,18,11,1609744.0,1
S18858,65,28,3872353.0,1
S18863,29,25,3687272.0,1
S18884,1,53,7650543.0,0
S18899,29,22,3089802.0,1
S18911,5,42,5961381.0,0
S18936,9,63,9206845.0,0
S18955,113,17,2520047.0,2
S18959,17,21,3536796.0,1
S18978,25,26,3211677.0,1
S18979,32,25,3565129.0,1
S19012,3,35,5224175.0,0
S19023,101,34,4476712.0,2
S19027,57,45,5404094.0,0
S19039,9,30,4283506.0,1
S19040,10,26,3825999.0,1
S19086,25,15,1674596.0,1
S19095,4,81,11031632.0,0
S19110,64,9,766509.0,2
S19117,29,19,2492297.0,1
S19123,41,19,2589023.0,1
S19139,48,26,4138042.0,1
S19167,38,18,2378143.0,1
S19170,15,38,5881462.0,0
S19194,135,11,1137103.0,2
S19231,21,49,7046026.0,0
S19238,35,46,5932662.0,0
S19304,4,27,3698868.0,1
S19309,11,55,7753411.0,0
S19316,25,27,4340227.0,1
S19344,13,28,4203721.0,1
S19346,4,9,997019.0,1
S19350,51,13,1925425.0,1
S19375,7,51,6346681.0,0
S19395,4,44,7501029.0,0
S19406,70,21,2657567.0,2
S19409,42,13,1371403.0,1
S19426,5,51,8096101.0,0
S19445,46,18,2714849.0,1
S19460,2,46,6264840.0,0
S19485,0,9,1463984.0,1
S19493,70,28,4132068.0,2
S19512,0,18,3021545.0,1
S19514,4,23,4036880.0,1
S19517,50,45,5852973.0,0
S19533,81,24,3045666.0,2
S19538,5,51,6912014.0,0
S19570,42,9,1193597.0,1
S19577,24,28,4217901.0,1
S19579,38,60,9938702.0,0
S19580,3,39,5146335.0,0
S19583,16,40,5833628.0,0
S19593,19,36,5112789.0,0
S19605,93,24,3202866.0,2
S19626,106,7,1424916.0,2
S19627,42,32,4705611.0,1
S19641,54,36,5848600.0,0
S19657,23,64,10569468.0,0
S19682,3,23,3880531.0,1
S19684,45,40,5310718.0,0
S19686,7,30,4490225.0,1
S19688,64,8,1366376.0,2
S19705,23,26,4034101.0,1
S19706,30,38,5356007.0,0
S19707,42,6,647204.0,1
S19709,2,42,5085046.0,0
S19718,1,35,4589254.0,0
S19726,32,39,4606490.0,0
S19738,36,35,4799694.0,0
S19748,31,18,1755551.0,1
S19759,4,43,6010817.0,0
S19763,4,20,2947590.0,1
S19779,19,53,8737872.0,0
S19793,50,32,4729945.0,1
S19794,5,25,3495633.0,1
S19824,90,27,4639319.0,2
S19828,0,21,2642275.0,1
S19840,19,43,5980790.0,0
S19851,43,24,3114608.0,1
S19878,83,11,1713571.0,2
S19880,12,11,1049575.0,1
S19890,10,23,4248573.0,1
S19891,6,26,3066021.0,1
S19916,17,35,5161893.0,0
S19956,3,43,6938748.0,0
S19969,53,26,3131304.0,1
S19980,0,48,6193738.0,0
S19982,62,20,2822007.0,2
S20000,32,13,1392703.0,1
S20004,1,45,6093200.0,0
S20022,24,24,3749429.0,1
S20033,40,12,1877576.0,1
S20038,16,67,9984165.0,0
S20045,94,11,1712271.0,2
S20047,74,39,4331843.0,2
S20055,22,31,4031105.0,1
S20063,27,11,1643942.0,1
S20068,39,24,3286723.0,1
S20071,2,18,2864061.0,1
S20083,5,52,7077877.0,0
S20091,10,38,5310134.0,0
S20101,0,33,5634284.0,0
S20112,26,33,4690054.0,1
S20114,13,42,5917209.0,0
S20121,93,12,1851788.0,2
S20124,14,35,6033422.0,0
S20141,57,52,7483681.0,0
S20157,71,10,1208305.0,2
S20162,37,39,4869886.0,0
S20176,14,14,1398933.0,1
S20185,0,48,6019498.0,0
S20189,12,60,8031588.0,0
S20198,28,21,2949588.0,1
S20229,39,29,4794290.0,1
S20236,13,31,3931764.0,1
S20261,2,25,3450121.0,1
S20267,24,37,4814745.0,0
S20274,0,50,7572475.0,0
S20281,10,38,5443617.0,0
S20286,0,10,1955653.0,1
S20293,21,33,4891036.0,1
S20307,54,20,2539936.0,1
S20333,79,14,2054039.0,2
S20342,30,32,4172549.0,1
S20363,65,20,3651941.0,2
S20391,38,15,2245136.0,1
S20395,31,19,2917997.0,1
S20405,35,60,7942599.0,0
S20417,12,72,8892219.0,0
S20433,13,45,6530596.0,0
S20442,22,55,7667171.0,0
S20464,7,42,6840424.0,0
S20497,78,37,6141837.0,0
S20504,51,21,2413137.0,1
S20522,33,39,5855736.0,0
S20547,10,46,6992442.0,0
S20579,21,7,1170210.0,1
S20581,10,21,3355219.0,1
S20596,76,8,1523659.0,2
S20604,13,21,2711869.0,1
S20611,1,18,2978299.0,1
S20614,2,27,3807295.0,1
S20629,22,24,2630005.0,1
